,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,partie,part
1,2,2,chercher,search
2,3,3,seulement,only
3,4,4,police,police
4,5,5,pensais,thought
5,6,7,demande,request
6,7,8,genre,kind
7,8,10,laisser,let
8,9,11,car,because
9,10,12,mettre,to put
10,11,13,aucun,no
11,12,14,laisse,leash
12,13,15,eux,them
13,14,16,ville,city
14,15,17,chaque,each
15,16,19,devrait,should
16,17,20,bébé,baby
17,18,21,longtemps,long time
18,19,22,heures,hours
19,20,23,vont,will
20,21,24,pendant,while
21,22,25,aucune,any
22,24,28,compris,understood
23,25,29,savais,knew
24,26,30,étaient,were
25,27,31,attention,Warning
26,28,32,voici,here is
27,29,33,pourrais,could
28,30,34,affaire,case
29,31,35,donner,give
30,32,36,type,type
31,33,37,leurs,their
32,34,38,donné,given
33,35,39,corps,body
34,36,40,endroit,place
35,37,41,yeux,eyes
36,38,42,façon,way
37,39,43,écoute,listen
38,40,44,dont,whose
39,41,45,trouve,find
40,42,47,perdu,lost
41,43,48,main,hand
42,44,49,première,first
43,45,50,côté,side
44,46,51,vieux,old
45,47,52,sois,be
46,48,53,matin,morning
47,49,54,tellement,so much
48,50,55,enfant,child
49,51,57,venu,came
50,52,58,suite,after
51,53,59,pardon,sorry
52,54,60,venez,come
53,55,61,vers,towards
54,56,62,minutes,minutes
55,57,63,demandé,request
56,58,64,chambre,bedroom
57,59,65,mis,placed
58,60,67,droit,law
59,61,68,aimerais,would like to
60,63,71,cause,cause
61,64,72,enfin,finally
62,65,73,espère,hope
63,66,74,eau,water
64,67,75,attendez,Wait
65,68,76,parti,left
66,69,77,nouvelle,new
67,70,78,boulot,job
68,71,79,arrêter,Stop
69,72,80,dirait,would say
70,73,81,terre,Earth
71,74,82,compte,account
72,75,83,donne,given
73,76,84,loin,far
74,77,85,fin,end
75,78,86,croire,believe
76,79,87,chérie,sweetheart
77,81,89,plutôt,rather
78,82,90,aura,will have
79,83,91,jouer,to play
80,84,92,bureau,office
